report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-03,bibigo,5,4103,75,12,
2025-09-08,shin ramen,41,517035,5160,149,
2025-09-08,samyang,482,2576105,84971,1314,
2025-09-08,pulmuone,4,8920,420,11,
2025-09-08,nongshim,74,578531,4977,340,
2025-09-08,jin ramen,22,82076,1539,66,
2025-09-08,chum churum,1,176,1,0,
2025-09-08,shin ramyun,70,691099,4452,408,
2025-09-08,buldak,1271,8969729,261059,7155,
2025-09-07,shin ramyun,58,681997,4379,406,
2025-09-07,shin ramen,35,510493,4909,146,
2025-09-07,samyang,411,2449022,81554,1175,
2025-09-07,pulmuone,3,1281,15,1,
2025-09-07,nongshim,62,565055,4726,306,
2025-09-07,jin ramen,18,78880,1510,64,
2025-09-08,bibigo,18,79700,2794,48,
2025-09-07,chum churum,1,176,1,0,
2025-09-10,shin ramyun,88,1002360,6132,511,
2025-09-10,shin ramen,56,749639,3205,135,
2025-09-10,samyang,528,2975110,112076,1799,
2025-09-10,pulmuone,3,11746,530,14,
2025-09-10,nongshim,81,892792,5491,355,
2025-09-10,jin ramen,34,102282,2290,90,
2025-09-10,chum churum,1,180,1,0,
2025-09-10,bibigo,27,70580,3473,63,
2025-09-09,shin ramyun,83,885273,5480,459,
2025-09-09,pulmuone,4,11446,507,14,
2025-09-10,buldak,1401,11652676,331337,7216,
2025-09-07,buldak,1075,8524645,249575,6638,
2025-09-09,chum churum,1,176,1,0,
2025-09-06,shin ramyun,42,499523,3647,331,
2025-09-04,shin ramen,14,48449,2263,56,
2025-09-04,samyang,167,441641,10235,309,
2025-09-04,pulmuone,1,251,5,0,
2025-09-04,nongshim,27,33563,340,26,
2025-09-04,jin ramen,5,6094,94,8,
2025-09-04,bibigo,8,14382,185,13,
2025-09-04,shin ramyun,21,30563,357,38,
2025-09-03,shin ramyun,7,4922,76,3,
2025-09-03,samyang,87,268462,3716,156,
2025-09-03,pulmuone,1,67,1,0,
2025-09-03,nongshim,18,18119,205,10,
2025-09-03,jin ramen,3,2172,62,8,
2025-09-03,buldak,230,613080,17370,1438,
2025-09-07,bibigo,15,78036,2794,48,
2025-09-03,shin ramen,7,25133,1586,46,
2025-09-05,bibigo,13,59207,2154,37,
2025-09-04,buldak,419,1471170,39618,2112,
2025-09-06,chum churum,1,174,1,0,
2025-09-05,buldak,619,3458741,108627,4083,
2025-09-06,samyang,318,1699733,44478,710,
2025-09-06,pulmuone,3,1274,14,1,
2025-09-06,nongshim,53,309598,1129,90,
2025-09-06,jin ramen,16,64543,1086,53,
2025-09-06,buldak,855,6041151,178197,5504,
2025-09-05,shin ramyun,30,303354,2150,229,
2025-09-06,bibigo,14,74965,2700,46,
2025-09-05,shin ramen,20,215933,2976,71,
2025-09-05,samyang,239,1005466,18172,443,
2025-09-05,pulmuone,2,947,10,1,
2025-09-05,nongshim,41,190582,690,51,
2025-09-05,jin ramen,10,15797,234,13,
2025-09-05,chum churum,1,166,1,0,
2025-09-06,shin ramen,26,380734,4416,118,
2025-09-13,kyochon,2,2555,61,1,
2025-09-13,lotte choco pie,40,1673306,11033,21,
2025-09-13,lotte mart,53,29660,256,14,
2025-09-13,red baron,40,17432,547,59,
2025-09-13,maxim coffee,2,1013,8,0,
2025-09-13,jinro,10,2761,31,5,
2025-09-13,kooksoondang,1,4,1,0,
2025-09-13,melona,13,5179,79,7,
2025-09-13,pulmuone,1,1805,17,0,
2025-09-13,neoguri,8,4365,57,6,
2025-09-13,nongshim,47,1306197,1901,94,
2025-09-13,orion choco pie,6,14632,119,3,
2025-09-13,otoki,7,13928,76,16,
2025-09-13,ottogi,3,15195,1057,7,
2025-09-13,pepero,30,160804,12662,312,
2025-09-13,jin ramen,21,42120,2308,43,
2025-09-13,milkis,12,17012,392,37,
2025-09-13,havmor,14,45693,969,12,
2025-09-12,red baron,29,13446,424,41,
2025-09-13,dongwon tuna,1,7433,0,78,
2025-09-13,samlip,2,2933,169,3,
2025-09-12,pepero,28,95131,7793,271,
2025-09-12,pulmuone,1,1795,17,0,
2025-09-12,samlip,1,784,62,2,
2025-09-12,samyang,187,601286,34025,734,
2025-09-12,sempio,9,61105,3564,964,
2025-09-12,shin ramen,45,218494,2498,75,
2025-09-12,toomba,11,15936,341,3,
2025-09-12,turtle chips,3,1852,10,2,
2025-09-13,beksul,1,857,1,2,
2025-09-13,bibigo,33,36152,2449,162,
2025-09-13,binggrae,5,302528,6961,62,
2025-09-13,bristol farms,1,452,8,0,
2025-09-13,buldak,795,7023097,149137,3509,
2025-09-13,chapagetti,18,174635,5542,25,
2025-09-13,chilsung,1,12,1,0,
2025-09-13,daesang,8,71499,4149,82,
2025-09-13,emart,38,39886,501,32,
2025-09-13,samyang,265,1168993,67143,1195,
2025-09-14,samlip,2,3072,204,3,
2025-09-13,shin ramen,64,490547,8067,137,
2025-09-14,maxim coffee,2,1022,10,0,
2025-09-14,melona,23,11430,161,11,
2025-09-14,milkis,19,18459,417,49,
2025-09-14,neoguri,11,6285,81,6,
2025-09-14,nongshim,58,1812628,2701,115,
2025-09-14,orion choco pie,6,15131,122,3,
2025-09-14,otoki,7,14351,77,17,
2025-09-14,ottogi,3,15624,1081,8,
2025-09-14,pepero,38,188606,14287,346,
2025-09-14,pulmuone,1,1807,18,1,
2025-09-14,red baron,47,21246,606,71,
2025-09-12,ottogi,3,13655,1019,6,
2025-09-14,samyang,331,1694668,85657,1571,
2025-09-14,sempio,19,143977,9443,2882,
2025-09-14,shin ramen,79,1120308,31690,632,
2025-09-14,starkist,1,342,0,0,
2025-09-14,terra beer,1,1255,9,1,
2025-09-14,lotte mart,63,71821,506,17,
2025-09-13,sempio,14,99597,6210,1961,
2025-09-14,lotte choco pie,47,2183694,14937,32,
2025-09-14,kooksoondang,1,5,1,0,
2025-09-13,starkist,1,338,0,0,
2025-09-13,terra beer,1,1238,7,0,
2025-09-13,toomba,13,51130,3760,19,
2025-09-13,turtle chips,3,1867,9,2,
2025-09-14,beksul,1,861,1,2,
2025-09-14,bibigo,37,39428,2892,244,
2025-09-14,binggrae,5,327654,7399,64,
2025-09-14,bristol farms,1,454,8,0,
2025-09-14,buldak,1061,9353345,214258,5193,
2025-09-14,chapagetti,22,241722,7628,34,
2025-09-14,chilsung,1,12,1,0,
2025-09-14,daesang,9,77778,4413,97,
2025-09-14,dongwon tuna,1,7815,0,79,
2025-09-14,emart,54,48141,574,39,
2025-09-14,havmor,21,61779,1158,19,
2025-09-14,jin ramen,30,64144,2733,54,
2025-09-14,jinro,14,9774,54,5,
2025-09-14,kyochon,4,3016,68,1,
2025-09-12,otoki,5,7019,59,12,
2025-09-11,neoguri,2,1457,14,0,
2025-09-12,nongshim,34,591238,1018,67,
2025-09-09,pepero,9,25307,2276,136,
2025-09-09,red baron,6,4474,59,15,
2025-09-09,samyang,60,148751,8853,223,
2025-09-09,sempio,3,14208,588,135,
2025-09-09,shin ramen,12,20526,234,15,
2025-09-09,toomba,2,1306,26,0,
2025-09-09,turtle chips,1,262,0,0,
2025-09-11,bibigo,15,20521,1388,28,
2025-09-11,binggrae,4,222322,5533,47,
2025-09-11,bristol farms,1,386,5,0,
2025-09-11,buldak,355,1710091,53697,1303,
2025-09-11,chapagetti,5,4615,51,4,
2025-09-11,chilsung,1,11,1,0,
2025-09-11,daesang,4,22247,936,7,
2025-09-11,dongwon tuna,1,5123,0,64,
2025-09-11,emart,18,5122,41,4,
2025-09-11,havmor,7,3275,67,3,
2025-09-09,ottogi,3,3596,284,4,
2025-09-11,jin ramen,10,14554,910,15,
2025-09-09,otoki,2,3620,34,0,
2025-09-09,nongshim,10,26157,185,3,
2025-09-09,bibigo,10,12036,627,21,
2025-09-09,binggrae,3,86981,2665,34,
2025-09-09,buldak,175,445274,16326,401,
2025-09-09,chapagetti,3,2377,17,2,
2025-09-09,chilsung,1,9,1,0,
2025-09-09,daesang,2,8844,381,5,
2025-09-09,emart,5,473,4,2,
2025-09-09,havmor,3,1801,33,0,
2025-09-09,jin ramen,6,4484,309,4,
2025-09-09,jinro,1,1213,8,1,
2025-09-09,kooksoondang,1,3,1,0,
2025-09-09,kyochon,1,1470,17,0,
2025-09-09,lotte choco pie,10,34628,244,2,
2025-09-09,lotte mart,8,3162,22,0,
2025-09-09,melona,6,2097,21,4,
2025-09-09,milkis,3,4366,19,0,
2025-09-09,neoguri,1,1389,7,0,
2025-09-09,orion choco pie,3,3165,25,0,
2025-09-12,orion choco pie,6,10580,93,3,
2025-09-11,jinro,8,1489,22,3,
2025-09-11,kyochon,1,1534,24,0,
2025-09-12,buldak,577,3269163,83440,2160,
2025-09-12,chapagetti,11,7805,93,7,
2025-09-12,chilsung,1,12,1,0,
2025-09-12,daesang,6,29930,1262,9,
2025-09-12,dongwon tuna,1,6297,0,69,
2025-09-12,emart,27,7962,64,9,
2025-09-12,havmor,11,7676,190,4,
2025-09-12,jin ramen,15,23756,1106,19,
2025-09-12,jinro,10,2559,29,5,
2025-09-12,kooksoondang,1,4,1,0,
2025-09-12,kyochon,2,2466,51,0,
2025-09-12,lotte choco pie,29,450963,3086,10,
2025-09-12,lotte mart,30,16224,158,7,
2025-09-12,maxim coffee,2,913,8,0,
2025-09-12,melona,11,4860,70,7,
2025-09-12,milkis,7,10160,282,18,
2025-09-12,neoguri,5,1790,23,3,
2025-09-12,bristol farms,1,440,6,0,
2025-09-11,kooksoondang,1,4,1,0,
2025-09-12,binggrae,4,253541,6088,53,
2025-09-11,turtle chips,2,259,2,2,
2025-09-11,lotte choco pie,20,87068,334,4,
2025-09-11,lotte mart,18,10657,95,3,
2025-09-11,maxim coffee,1,24,3,0,
2025-09-11,melona,7,3673,44,6,
2025-09-11,milkis,4,7152,27,0,
2025-09-14,toomba,17,504043,25698,486,
2025-09-11,nongshim,24,81855,597,45,
2025-09-11,orion choco pie,6,8766,76,1,
2025-09-11,otoki,5,6863,57,10,
2025-09-11,ottogi,3,10806,859,6,
2025-09-11,pepero,17,48597,3511,198,
2025-09-11,pulmuone,1,1788,18,0,
2025-09-11,red baron,18,8377,139,37,
2025-09-11,samyang,112,426250,24610,419,
2025-09-11,sempio,6,49330,3136,839,
2025-09-11,shin ramen,27,111725,1589,47,
2025-09-11,toomba,5,7224,169,1,
2025-09-12,bibigo,24,29159,1855,36,
2025-09-14,turtle chips,4,2552,12,2,
